price,square_meters,rooms,floor,is_promoted,condition,latitude,longitude,date,price_per_sqm,safe_room,elevator,parking,bars,air_conditioning,air_conditioner,accessible,furniture
2600000,2600,45,4,3,2,31.282944,34.80008,0,1000.0,1,1,1,1,1,1,1,1
2050000,1850,5,17,3,3,31.251722,34.7952,0,1108.1081081081081,1,1,1,0,1,1,0,0
1920000,1360,5,5,3,2,0.0,0.0,0,1411.764705882353,1,1,1,1,1,1,0,0
2330000,1270,5,0,3,2,0.0,0.0,0,1834.6456692913387,1,1,1,1,1,1,1,0
1100000,800,4,1,3,3,31.252001,34.790688,0,1375.0,0,0,1,1,1,1,0,1
1450000,1210,4,3,3,3,31.285978,34.804329,0,1198.3471074380166,1,1,1,0,1,1,0,0
2650000,3390,5,0,3,3,0.0,0.0,0,781.7109144542773,1,0,1,1,1,1,1,0
2290000,1800,5,4,3,2,31.283477,34.79985,0,1272.2222222222222,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
1550005,1460,5,3,3,4,31.234796,34.785684,0,1061.6472602739725,1,1,1,0,1,1,1,0
1250000,1200,4,6,3,3,31.249546,34.791017,0,1041.6666666666667,0,1,1,0,1,1,1,1
1290000,1500,5,14,3,3,0.0,0.0,0,860.0,1,1,1,1,1,1,1,0
2100000,1560,4,14,3,2,31.255285,34.783185,0,1346.1538461538462,1,1,1,0,1,1,1,0
1320000,1270,4,2,3,4,0.0,0.0,0,1039.3700787401574,1,0,0,1,1,1,0,0
2160000,1970,65,0,3,3,31.27782,34.802813,0,1096.4467005076142,1,1,1,1,1,1,1,1
3500000,2600,9,0,3,4,31.243462,34.764574,0,1346.1538461538462,1,0,1,1,1,1,0,1
810000,920,4,4,2,3,31.264495,34.780717,0,880.4347826086956,0,0,0,0,1,1,0,1
695000,850,3,3,2,3,31.257127,34.778651,0,817.6470588235294,0,0,0,1,1,1,0,1
450000,360,0,7,2,3,31.249488,34.80197,0,1250.0,1,1,1,0,1,1,1,1
969000,1000,3,0,3,3,31.2656986666667,34.7845362222222,0,969.0,0,1,1,0,1,1,1,0
1140000,1150,5,9,3,3,0.0,0.0,0,991.304347826087,0,1,0,0,1,1,1,0
1350000,1050,35,3,3,3,0.0,0.0,0,1285.7142857142858,1,1,1,1,1,1,1,0
1275000,1070,4,3,3,3,31.2543385769231,34.7934598076923,0,1191.588785046729,0,0,1,0,1,1,0,1
760000,780,4,3,3,3,31.257294,34.808287,0,974.3589743589744,0,0,1,1,1,1,0,0
760000,780,4,4,3,3,31.2583444921875,34.7836240351563,0,974.3589743589744,0,0,0,1,1,1,0,1
1680000,1250,4,0,3,3,31.282849952381,34.8003803809524,0,1344.0,1,1,1,1,1,1,1,0
2399000,2600,6,0,3,3,31.2743837887324,34.8016711549296,0,922.6923076923077,1,0,1,0,1,1,0,0
890000,540,3,1,3,3,31.258664,34.793357,0,1648.148148148148,0,0,0,0,0,0,0,0
1920000,1840,5,14,3,2,31.2552723333333,34.78490875,0,1043.4782608695652,1,1,1,1,1,1,1,1
2600000,3000,65,0,3,3,31.2409898,34.8102776,0,866.6666666666666,1,0,1,1,1,1,1,0
615000,700,3,3,3,3,31.2703337888889,34.7851364111111,0,878.5714285714286,0,0,1,1,1,1,0,1
1299000,1300,4,3,3,3,31.257529,34.806795,0,999.2307692307693,1,1,1,0,1,1,1,1
3095000,2390,6,9,3,2,31.2559909285714,34.7549493571429,0,1294.979079497908,1,1,1,1,1,1,1,0
990000,720,35,3,3,4,31.254906,34.793783,0,1375.0,0,0,0,1,1,1,0,1
2180000,1250,45,5,3,3,31.2647836666667,34.8126395555556,0,1744.0,1,1,1,0,1,1,1,0
1600000,1300,4,2,3,2,31.2876702857143,34.8004466666667,0,1230.7692307692307,1,1,1,1,1,1,1,0
1840000,1760,5,7,3,2,31.246361,34.789682,0,1045.4545454545455,1,1,1,0,1,1,1,1
2090000,2000,5,6,3,3,31.2772136826923,34.8234300673077,0,1045.0,1,1,1,0,1,1,1,0
969000,730,4,3,3,3,31.254014,34.792154,0,1327.3972602739725,0,0,0,1,1,1,0,1
1449000,1260,4,3,3,2,31.2409898,34.8102776,0,1150.0,1,1,1,1,1,1,1,0
950000,900,4,0,1,4,31.26776,34.794301,0,1055.5555555555557,0,0,0,1,1,1,1,0
1240000,1190,5,2,1,5,31.2409898,34.8102776,0,1042.0168067226891,0,1,1,1,1,1,1,0
770000,1100,4,4,1,4,31.257737,34.769796,0,700.0,0,0,1,1,1,1,0,0
1050000,1000,4,3,1,3,31.259035,34.783534,0,1050.0,0,0,0,0,1,1,0,1
860000,500,3,1,1,3,31.261151,34.794439,0,1720.0,0,0,0,1,1,1,0,1
970000,1000,45,1,1,3,31.246074,34.795127,0,970.0,0,0,0,0,1,1,0,1
1985000,1880,5,1,1,2,31.255272,34.784909,0,1055.8510638297873,1,1,1,1,1,1,1,0
700000,780,35,4,1,3,31.257689,34.783072,0,897.4358974358975,0,0,0,0,0,0,0,0
760000,730,3,1,1,3,31.252461,34.803682,0,1041.0958904109589,0,0,0,1,1,1,0,0
1100000,700,4,4,1,3,31.263945,34.797848,0,1571.4285714285713,0,0,0,0,1,1,0,1
1700000,1580,5,2,1,4,31.277636,34.800643,0,1075.9493670886077,1,1,1,0,1,1,0,1
1250000,2700,3,1,1,3,31.251,34.794036,0,462.962962962963,0,0,0,0,1,1,1,1
1820000,1100,4,0,1,3,31.28525,34.801549,0,1654.5454545454545,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
880000,700,3,5,1,4,0.0,0.0,0,1257.142857142857,1,1,1,0,1,1,1,0
1250000,880,3,7,1,3,31.23542,34.780602,0,1420.4545454545455,1,1,1,1,0,0,1,1
1390000,1150,4,3,1,4,31.276626,34.822244,0,1208.695652173913,1,1,0,0,1,1,0,1
848000,650,4,1,1,3,31.264959,34.795144,0,1304.6153846153845,0,0,0,0,1,1,0,1
850000,740,35,2,1,4,31.259902,34.790567,0,1148.6486486486488,0,0,1,1,1,1,0,1
1380000,1100,5,4,1,4,31.246345,34.804483,0,1254.5454545454545,0,0,1,0,1,1,0,0
2300000,2200,5,3,1,2,31.228527,34.818082,0,1045.4545454545455,1,1,1,0,1,1,1,0
2800000,3400,55,0,1,3,31.253486,34.762651,0,823.5294117647059,1,0,1,1,1,1,1,0
3100000,1770,6,0,1,2,31.28703,34.799488,0,1751.412429378531,1,0,1,1,1,1,1,0
1190000,1070,4,5,1,2,31.256047,34.807261,0,1112.1495327102805,1,1,1,0,1,1,1,1
590000,670,3,3,3,4,31.2700016147541,34.7869256229508,0,880.5970149253732,0,0,0,0,1,1,0,0
